Publication_year,Research_group_UPC,ID_article
"(2018, 2021]",CPSV - Centre de Politica de Sol i Valoracions,40
"(2009, 2012]",ENMA - Enginyeria del Medi Ambient,40
"(2012, 2015]",GRIC - Grup de Recerca i Innovacio de la Construccio,40
"(2015, 2018]",GRU - Grup de Recerca Urbanisme,40
"(2012, 2015]",VEU - Grup de Tractament de la Parla,40
"(2009, 2012]",PROCOMAME - Processos de Conformacio de Materials Metal?lics,39
"(2009, 2012]",PSEP - Polimers Sintetics: Estructura i Propietats. Polimers Biodegradables,39
"(2009, 2012]",POLQUITEX - Materials Polimerics i Quimica Textil,39
"(2015, 2018]",TECTEX - Grup de Recerca en Tecnologia Textil,39
"(2012, 2015]",ISSET - Integrated Smart Sensors and Health Technologies,39
"(2018, 2021]",GAT - Grup d'Arquitectura i Tecnologia,39
"(2015, 2018]",GRO - Grup de Recerca en Organitzacio,39
"(2015, 2018]",CTTC - Centre Tecnologic de la Transferencia de Calor,38
"(2018, 2021]",KEMLG - Grup d'Enginyeria del Coneixement i Aprenentatge Automatic,38
"(2015, 2018]","inSSIDE - integrated Software, Service, Information and Data Engineering",38
"(2018, 2021]","AIEM - Arquitectura, energia i medi ambient",38
"(2009, 2012]",MCIA - Motion Control and Industrial Applications Research Group,38
"(2015, 2018]",ISSET - Integrated Smart Sensors and Health Technologies,38
"(2018, 2021]","COMBGRAPH - Combinatoria, Teoria de Grafs i Aplicacions",38
"(2015, 2018]",IEB - Instrumentacio Electronica i Biomedica,38
"(2009, 2012]",BAMPLA - Disseny i Avaluacio de Xarxes i Serveis de Banda Ampla,38
"(2015, 2018]",VEU - Grup de Tractament de la Parla,37
"(2009, 2012]","ACC - Arquitectura, Ciutat i Cultura",37
"(2012, 2015]",GOAPI - Grup d'Optica Aplicada i Processament d'Imatge,37
"(2018, 2021]",SEPIC - Sistemes Electronics de Potencia i de Control,37
"(2009, 2012]",DF - Dinamica de Fluids: formacio d'estructures i aplicacions geofisiques,37
"(2009, 2012]",BCN SEER - Barcelona Science and Engineering Education Research Group,37
"(2009, 2012]",GAT - Grup d'Arquitectura i Tecnologia,37
"(2009, 2012]",GREMS - Grup de Recerca en Mineria Sostenible,37
"(2009, 2012]",CREDA - Centre de Recerca en Economia i Desenvolupament Agroalimentari,36
"(2015, 2018]",ACES - Control Avancat de Sistemes d'Energia,36
"(2012, 2015]",ENMA - Enginyeria del Medi Ambient,36
"(2015, 2018]",SEPIC - Sistemes Electronics de Potencia i de Control,36
"(2009, 2012]",ADBD - Analisi de Dades Complexes per a les Decisions Empresarials,36
"(2018, 2021]",DF - Dinamica de Fluids: formacio d'estructures i aplicacions geofisiques,36
"(2009, 2012]",DRM - Dosimetria i Radiofisica Medica,36
"(2009, 2012]",CPSV - Centre de Politica de Sol i Valoracions,36
"(2018, 2021]",POLTEPO - Polimers Termoestables Epoxidics,35
"(2012, 2015]",GREO - Grup de Recerca en Enginyeria Optica,35
"(2012, 2015]",ADBD - Analisi de Dades Complexes per a les Decisions Empresarials,35
"(2015, 2018]",BIT - Barcelona Innovative Transportation,35
"(2018, 2021]",GOAPI - Grup d'Optica Aplicada i Processament d'Imatge,35
"(2015, 2018]",CEPIMA - Center for Process and Environment Engineering,35
"(2018, 2021]",VEU - Grup de Tractament de la Parla,35
"(2018, 2021]",DRM - Dosimetria i Radiofisica Medica,35
"(2012, 2015]",DRM - Dosimetria i Radiofisica Medica,35
"(2012, 2015]",POLY2 - Polyfunctional polymeric materials,35
"(2018, 2021]",SEER - Sistemes Electrics d'Energia Renovable,34
"(2015, 2018]",CBA - Sistemes de Comunicacions i Arquitectures de Banda Ampla,34
"(2012, 2015]",FORM+ - Grup de recerca FORM+,34
"(2018, 2021]",CRESCA - Centre de Recerca en Seguretat i Control Alimentari,34
"(2018, 2021]",EDP - Equacions en Derivades Parcials i Aplicacions,34
"(2018, 2021]",ICARUS - Intelligent Communications and Avionics for Robust Unmanned Aerial Systems,34
"(2018, 2021]",gAGE - Grup d'Astronomia i Geomatica,34
"(2015, 2018]",DRM - Dosimetria i Radiofisica Medica,34
"(2018, 2021]",ADBD - Analisi de Dades Complexes per a les Decisions Empresarials,34
"(2012, 2015]","AR.I.EN - Arquitectura, Industria i Enginyeria",34
"(2009, 2012]",VEU - Grup de Tractament de la Parla,34
"(2009, 2012]",EDP - Equacions en Derivades Parcials i Aplicacions,33
"(2015, 2018]",e-PLASCOM - Plastics i Composits Ecologics,33
"(2018, 2021]",LAB - Laboratori d'Aplicacions Bioacustiques,33
"(2009, 2012]",GNOM - Grup d'Optimitzacio Numerica i Modelitzacio,33
"(2012, 2015]","inSSIDE - integrated Software, Service, Information and Data Engineering",33
"(2018, 2021]",TN - Grup de Recerca en Teoria de Nombres,33
"(2012, 2015]",FLUMEN - Dinamica Fluvial i Enginyeria Hidrologica,33
"(2018, 2021]",e-PLASCOM - Plastics i Composits Ecologics,33
"(2012, 2015]",TECTEX - Grup de Recerca en Tecnologia Textil,32
"(2009, 2012]",GRAA - Grup de Recerca en Analisi Aplicada,32
"(2015, 2018]",ADBD - Analisi de Dades Complexes per a les Decisions Empresarials,32
"(2009, 2012]",POL - Polimers Industrials Avancats i Biopolimers Tecnologics,32
"(2015, 2018]",SARTI-MAR - Sistemes d'Adquisicio Remota de dades i Tractament de la Informacio en el Medi Mari,32
"(2015, 2018]",GReCEF- Grup de Recerca en Ciencia i Enginyeria de Fluids,32
"(2009, 2012]",ANTENNALAB - Grup d'Antenes i Sistemes Radio,32
"(2015, 2018]",WiComTec - Grup de recerca en Tecnologies i Comunicacions Sense Fils,32
"(2018, 2021]",GRTJ - Grup de Recerca en Teoria de Jocs,32
"(2018, 2021]",BAMPLA - Disseny i Avaluacio de Xarxes i Serveis de Banda Ampla,32
"(2015, 2018]",FOTONICA - Grup de Recerca de Fotonica,32
"(2015, 2018]",GAA - Grup d'Astronomia i Astrofisica,32
"(2009, 2012]",GIIP - Grup de Recerca en Enginyeria de Projectes: Disseny i Sostenibilitat,32
"(2015, 2018]",ANiComp - Analisi numerica i computacio cientifica,32
"(2012, 2015]",LITEM - Laboratori per a la Innovacio Tecnologica d'Estructures i Materials,31
"(2018, 2021]",GPI - Grup de Processament d'Imatge i Video,31
"(2009, 2012]",e-PLASCOM - Plastics i Composits Ecologics,31
"(2015, 2018]",CREDA - Centre de Recerca en Economia i Desenvolupament Agroalimentari,31
"(2012, 2015]",e-PLASCOM - Plastics i Composits Ecologics,31
"(2018, 2021]",ANiComp - Analisi numerica i computacio cientifica,31
"(2012, 2015]","ADR&M - Arquitectura, Disseny: Representacio i Modelatge",31
"(2018, 2021]",B2SLab - Bioinformatics and Biomedical Signals Laboratory,31
"(2015, 2018]",SIC - Sistemes Intel?ligents de Control,31
"(2018, 2021]",GAA - Grup d'Astronomia i Astrofisica,31
"(2012, 2015]",ANiComp - Analisi numerica i computacio cientifica,31
"(2015, 2018]",SUMMLab - Sustainability Measurement and Modeling Lab,30
"(2009, 2012]",GREO - Grup de Recerca en Enginyeria Optica,30
"(2009, 2012]","AIEM - Arquitectura, energia i medi ambient",30
"(2009, 2012]",GRU - Grup de Recerca Urbanisme,30
"(2018, 2021]",GREO - Grup de Recerca en Enginyeria Optica,30
"(2015, 2018]","ViRVIG - Grup de Recerca en Visualitzacio, Realitat Virtual i Interaccio Grafica",30
"(2015, 2018]",MECMAT - Mecanica de Materials,30
"(2015, 2018]",ENMA - Enginyeria del Medi Ambient,30
"(2018, 2021]",CDIF - Centre de Diagnostic Industrial i Fluidodinamica,30
"(2018, 2021]",CTTC - Centre Tecnologic de la Transferencia de Calor,30
"(2012, 2015]",EDP - Equacions en Derivades Parcials i Aplicacions,30
"(2009, 2012]",KEMLG - Grup d'Enginyeria del Coneixement i Aprenentatge Automatic,30
"(2012, 2015]",ACES - Control Avancat de Sistemes d'Energia,30
"(2015, 2018]",DF - Dinamica de Fluids: formacio d'estructures i aplicacions geofisiques,30
"(2012, 2015]",VIS - Visio Artificial i Sistemes Intel?ligents,29
"(2012, 2015]",GAECE - Grup d'Accionaments Electrics amb Commutacio Electronica,29
"(2015, 2018]",POLQUITEX - Materials Polimerics i Quimica Textil,29
"(2015, 2018]",POL - Polimers Industrials Avancats i Biopolimers Tecnologics,29
"(2012, 2015]",GNOM - Grup d'Optimitzacio Numerica i Modelitzacio,29
"(2015, 2018]","ADR&M - Arquitectura, Disseny: Representacio i Modelatge",29
"(2009, 2012]",IEB - Instrumentacio Electronica i Biomedica,29
"(2012, 2015]",CNDS - Xarxes de Computadors i Sistemes Distribuits,29
"(2009, 2012]","ADR&M - Arquitectura, Disseny: Representacio i Modelatge",29
"(2009, 2012]",LUB - Laboratori d'Urbanisme de Barcelona,29
"(2018, 2021]",GRU - Grup de Recerca Urbanisme,29
"(2012, 2015]",SIC - Sistemes Intel?ligents de Control,29
